zip,lat,lng,mi_sac,mi_oak,mi_nearest
94602,37.80432,-122.20754,66.2,3.5,3.5
94603,37.73653,-122.17945,69.2,6.9,6.9
94605,37.76141,-122.15020,66.9,7.2,7.2
94606,37.79189,-122.24533,68.1,1.7,1.7
94607,37.80721,-122.30150,69.2,1.7,1.7
94608,37.83684,-122.28914,67.2,2.4,2.4
94609,37.83440,-122.26437,66.4,2.1,2.1
94610,37.81141,-122.24246,66.9,1.6,1.6
94611,37.82935,-122.20351,64.7,4.1,4.1
94612,37.80880,-122.26920,68.0,0.3,0.3
94613,37.78085,-122.18285,66.8,5.1,5.1
94618,37.84467,-122.23811,65.0,3.3,3.3
94619,37.79044,-122.14082,65.0,7.2,7.2
94621,37.74827,-122.21683,69.7,4.9,4.9
94702,37.86578,-122.28632,65.5,4.3,4.3
94703,37.86391,-122.27564,65.2,4.1,4.1
94704,37.86654,-122.25800,64.5,4.4,4.4
94705,37.86518,-122.23821,63.9,4.6,4.6
94706,37.88970,-122.29553,64.6,6.0,6.0
94707,37.89819,-122.27913,63.6,6.5,6.5
94708,37.90294,-122.26180,62.7,6.8,6.8
94709,37.87923,-122.26684,64.1,5.2,5.2
94710,37.86391,-122.30647,66.3,4.5,4.5
94720,37.87383,-122.25494,64.0,4.9,4.9
94801,37.95284,-122.38197,64.9,11.9,11.9
94803,37.95955,-122.28358,60.7,10.7,10.7
94804,37.91656,-122.34123,65.0,8.6,8.6
94805,37.94280,-122.32292,63.0,10.0,10.0
94806,37.98079,-122.33763,61.8,12.7,12.7
94850,37.90223,-122.31738,64.8,7.2,7.2
94901,37.97814,-122.49761,68.6,17.2,17.2
94903,38.02237,-122.55560,69.3,21.6,21.6
94904,37.94551,-122.56012,72.6,18.5,18.5
94920,37.88563,-122.46858,71.5,12.1,12.1
94922,38.34495,-122.94880,80.4,52.5,52.5
94923,38.33940,-123.03460,85.0,55.6,55.6
94924,37.94309,-122.72379,80.0,26.5,26.5
94925,37.93185,-122.50774,71.0,15.6,15.6
94928,38.34642,-122.69413,66.9,44.0,44.0
94929,38.25242,-122.96272,82.7,48.7,48.7
94930,37.94396,-122.61642,75.1,21.2,21.2
94931,38.32413,-122.71463,68.4,43.3,43.3
94933,38.01260,-122.68748,75.7,26.9,26.9
94937,38.11649,-122.93035,84.2,41.9,41.9
94938,38.02907,-122.72652,76.9,29.3,29.3
94939,37.93708,-122.53237,71.8,16.9,16.9
94940,38.17857,-122.88319,80.2,42.2,42.2
94941,37.89767,-122.56317,74.8,17.2,17.2
94945,38.13407,-122.52719,63.9,26.7,26.7
94946,38.08283,-122.67153,72.5,29.1,29.1
94947,38.11217,-122.63438,69.8,29.0,29.0
94949,38.06047,-122.50850,65.7,21.9,21.9
94950,38.02488,-122.75993,78.7,30.7,30.7
94951,38.32086,-122.64614,64.9,41.1,41.1
94952,38.23455,-122.76038,72.6,39.9,39.9
94954,38.23501,-122.55733,62.3,33.6,33.6
94956,38.04586,-122.86121,82.8,36.2,36.2
94957,37.96311,-122.56359,72.0,19.4,19.4
94960,37.99586,-122.57781,71.3,21.3,21.3
94963,38.01372,-122.67012,74.9,26.1,26.1
94964,37.94326,-122.49215,69.8,15.4,15.4
94965,37.85290,-122.54721,76.2,15.4,15.4
94970,37.91451,-122.64689,77.7,21.9,21.9
94971,38.23155,-122.92823,81.3,46.4,46.4
94972,38.28735,-122.96856,82.3,50.5,50.5
94973,38.01270,-122.63960,73.5,24.7,24.7
95002,37.43867,-122.01158,83.8,29.0,29.0
