TRUCRS ID,Name,Carrier Number,Carrier Type,Complies,Date Certificate Printed,ZEV Fleet,Email,URL,Address,Phone,Date Parsed,Year,Month,Year-Month
235859,Roadmasters,5296,CA Number,TB,2025-05-30 6:26:46,N,,,,,2025-05-150 06:26:00,2025,5,2025-05
251849,LAKHAN TO AMERICA INC,553384,CA Number,TB,2025-05-30 6:01:37,N,,,,,2025-05-150 06:01:00,2025,5,2025-05
248658,G.S. TRUCKING,626271,CA Number,TB,2025-05-30 5:49:24,N,,,,,2025-05-150 05:49:00,2025,5,2025-05
266404,Red Eyes Transportation INC.,,CA Number,TB,2025-05-30 5:48:07,N,,,,,2025-05-150 05:48:00,2025,5,2025-05
200543,G GROUP FREIGHT INC,3894438,USDOT Number,TB,2025-05-30 5:16:14,N,,,,,2025-05-150 05:16:00,2025,5,2025-05
266405,Doing it moving,3654779,USDOT Number,TB,2025-05-30 5:04:35,N,,,,,2025-05-150 05:04:00,2025,5,2025-05
241332,KCANALES TRUCKING LLC,2764727,CA Number,TB,2025-05-30 4:52:06,N,,,,,2025-05-150 04:52:00,2025,5,2025-05
248160,Arrla Inc.,4036826,USDOT Number,TB,2025-05-30 4:40:52,N,,,,,2025-05-150 04:40:00,2025,5,2025-05
266402,Hadley Tow,4193551,USDOT Number,TB,2025-05-30 4:29:26,N,,,,,2025-05-150 04:29:00,2025,5,2025-05
266401,R&K CARRIER INC,4082483,USDOT Number,TB,2025-05-30 3:41:52,N,,,,,2025-05-150 03:41:00,2025,5,2025-05
266399,3DDD'S TRUCKING LLC,600382,USDOT Number,TB,2025-05-30 3:23:44,N,,,,,2025-05-150 03:23:00,2025,5,2025-05
266400,Niu Trucking Inc,4368736,USDOT Number,TB,2025-05-30 3:17:15,N,,,,,2025-05-150 03:17:00,2025,5,2025-05
266398,BP915 LLC,629224,CA Number,TB,2025-05-30 3:05:48,N,,,,,2025-05-150 03:05:00,2025,5,2025-05
231043,Rich Rollin Transport,548456,CA Number,TB,2025-05-30 2:46:39,N,,,,,2025-05-150 02:46:00,2025,5,2025-05
266397,"AD Liquid & Soil Solutions, Inc",4323787,USDOT Number,TB,2025-05-30 2:42:18,N,,,,,2025-05-150 02:42:00,2025,5,2025-05
248135,LALA TRUCKING INC,573703,CA Number,TB,2025-05-30 2:40:14,N,,,,,2025-05-150 02:40:00,2025,5,2025-05
222399,AIKENS TRUCKING LLC,624862,CA Number,TB,2025-05-30 2:38:57,N,,,,,2025-05-150 02:38:00,2025,5,2025-05
222399,SHADOWLANDS TRANSPORT LLC,2981320,USDOT Number,TB,2025-05-30 2:38:57,N,,,,,2025-05-150 02:38:00,2025,5,2025-05
266333,Landgrave Logistics LLC,659756,CA Number,TB,2025-05-30 2:35:38,N,,,,,2025-05-150 02:35:00,2025,5,2025-05
246244,RD CARRIER LLC,199522,CA Number,TB,2025-05-30 2:21:06,N,,,,,2025-05-150 02:21:00,2025,5,2025-05
266394,SHINESTAR TRANSPORT INC,4005766,USDOT Number,TB,2025-05-30 2:08:09,N,,,,,2025-05-150 02:08:00,2025,5,2025-05
164563,DLS Builders,565269,CA Number,TB,2025-05-30 2:07:13,N,,,,,2025-05-150 02:07:00,2025,5,2025-05
224691,Christensen & Son LLC,575503,CA Number,TB,2025-05-30 1:45:07,N,,,,,2025-05-150 01:45:00,2025,5,2025-05
266393,GULADA LLC,4340009,USDOT Number,TB,2025-05-30 1:44:42,N,,,,,2025-05-150 01:44:00,2025,5,2025-05
234607,ECORIDE TRUCKING INC,621413,CA Number,TB,2025-05-30 1:39:43,N,,,,,2025-05-150 01:39:00,2025,5,2025-05
266359,self trucking inc,645701,CA Number,TB,2025-05-30 1:34:43,N,,,,,2025-05-150 01:34:00,2025,5,2025-05
194600,Monterey-Salinas Transit District,3330231,USDOT Number,TB,2025-05-30 1:02:55,N,,,,,2025-05-150 01:02:00,2025,5,2025-05
120048,Cruz Trucking,2833427,USDOT Number,TB,2025-05-30 1:01:46,N,,,,,2025-05-150 01:01:00,2025,5,2025-05
120048,4Ever Transport Inc,571139,CA Number,TB,2025-05-30 1:01:46,N,,,,,2025-05-150 01:01:00,2025,5,2025-05
222890,HARRY EXPRESS INC,632145,CA Number,TB,2025-05-30 1:00:11,N,,,,,2025-05-150 01:00:00,2025,5,2025-05
222890,M&S freight,4092784,USDOT Number,TB,2025-05-30 1:00:11,N,,,,,2025-05-150 01:00:00,2025,5,2025-05
228076,San Mateo County Transit District,592538,CA Number,TB,2025-05-29 12:59:03,N,,,,,2025-05-149 12:59:00,2025,5,2025-05
228076,BIG HAND DUMP INC.,3682358,USDOT Number,TB,2025-05-29 12:59:03,N,,,,,2025-05-149 12:59:00,2025,5,2025-05
257642,ATH TRANSPORT INC,4318394,USDOT Number,TB,2025-05-29 12:43:32,N,,,,,2025-05-149 12:43:00,2025,5,2025-05
191932,REMLE ENTERPRISE LLC,574282,CA Number,TB,2025-05-29 12:35:55,N,,,,,2025-05-149 12:35:00,2025,5,2025-05
169672,Bluehorsetruckinginc,155718,CA Number,TB,2025-05-29 12:35:47,N,,,,,2025-05-149 12:35:00,2025,5,2025-05
191150,GRA TRANS INC,554535,CA Number,TB,2025-05-29 12:35:23,N,,,,,2025-05-149 12:35:00,2025,5,2025-05
191150,KBD EXPRESS LLC,3347161,USDOT Number,TB,2025-05-29 12:35:23,N,,,,,2025-05-149 12:35:00,2025,5,2025-05
218023,JAMMU LOGISTICS INC,3351636,USDOT Number,TB,2025-05-29 12:33:21,N,,,,,2025-05-149 12:33:00,2025,5,2025-05
266336,Jose Banda Gudino,2530256,USDOT Number,TB,2025-05-29 12:24:19,N,,,,,2025-05-149 12:24:00,2025,5,2025-05
239083,Upload moving and storage inc,4018508,USDOT Number,TB,2025-05-29 12:15:46,N,,,,,2025-05-149 12:15:00,2025,5,2025-05
255498,AGUILAR TRANSPORTS INC,41278,CA Number,ACF,2025-05-29 11:55:20,Y,,,,,2025-05-149 11:55:00,2025,5,2025-05
219947,Garcias Trucking Services INC,3323693,USDOT Number,TB,2025-05-29 11:45:24,N,,,,,2025-05-149 11:45:00,2025,5,2025-05
253997,JOSE R VALDIVIA CAMPOS,633245,CA Number,TB,2025-05-29 11:38:09,N,,,,,2025-05-149 11:38:00,2025,5,2025-05
253997,GERARDO TRANSPORTATION LLC,4105402,USDOT Number,TB,2025-05-29 11:38:09,N,,,,,2025-05-149 11:38:00,2025,5,2025-05
232259,POWER FREIGHT LLC,3385228,USDOT Number,TB,2025-05-29 11:19:35,N,,,,,2025-05-149 11:19:00,2025,5,2025-05
197407,PRT LLC,594039,CA Number,TB,2025-05-29 11:14:38,N,,,,,2025-05-149 11:14:00,2025,5,2025-05
238856,"CHEMICAL TRANSFER CO., INC.",2671515,USDOT Number,ACF,2025-05-29 10:45:27,N,,,,,2025-05-149 10:45:00,2025,5,2025-05
190942,BELTRAN LLC,615922,CA Number,TB,2025-05-29 10:42:53,N,,,,,2025-05-149 10:42:00,2025,5,2025-05
164948,emad s iskander,2629604,USDOT Number,TB,2025-05-29 10:40:28,N,,,,,2025-05-149 10:40:00,2025,5,2025-05
266331,Bars Group INC,3777999,USDOT Number,TB,2025-05-29 10:39:14,N,,,,,2025-05-149 10:39:00,2025,5,2025-05
243256,Jerry*s Service & Occidental Towing Inc.,449887,CA Number,TB,2025-05-29 10:38:16,N,,,,,2025-05-149 10:38:00,2025,5,2025-05
