Batch,Lead_ID,Company_Name,USDOT,CA_Number,Violation,Priority,Last_CARB_Check,Address,City,State,Zip,Phone,Email,Website,Lat,Lng,Distance_mi,Status,Last_Contact,Notes,SAFER_URL,Google_Search,
5,41,GAN-TRANS,174463,16756,TB,1,2025-02-24,800 Carden Street,San Leandro,CA,94577,,,,37.7206879,-122.1859755,7.4,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=174463,https://www.google.com/search?q=GAN-TRANS+trucking+California+address+phone,GAN-TRANS
5,42,Tarke Farming Inc,396475,2769749,TB,1,2025-01-23,Tarke,Tarke,CA,95957,,,,39.1451696,-121.8491373,95.4,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=396475,https://www.google.com/search?q=Tarke+Farming+Inc+trucking+California+address+phone,Tarke Farming Inc
5,43,Stackhouse Bros.,88710,1613353,TB,1,2025-02-04,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=88710,https://www.google.com/search?q=Stackhouse+Bros.+trucking+California+address+phone,Stackhouse Bros.
5,44,"Convoy Systems, LLC",230360,,TB,1,2025-02-20,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=230360,https://www.google.com/search?q=Convoy+Systems+LLC+trucking+California+address+phone,Convoy Systems LLC
5,45,OLDLAND DISTRIBUTING INC,167502,150766,TB,1,2025-01-09,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=167502,https://www.google.com/search?q=OLDLAND+DISTRIBUTING+INC+trucking+California+address+phone,OLDLAND DISTRIBUTING INC
5,46,"Douglas Transportation, Inc.",533789,,TB,1,2025-01-02,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=533789,https://www.google.com/search?q=Douglas+Transportation+Inc.+trucking+California+address+phone,Douglas Transportation Inc.
5,47,Wyeth Dairy Inc,111121,,TB,1,2025-01-16,7319 Jackson Road,Modesto,CA,95358,,,,37.6765376,-121.1287936,63,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=111121,https://www.google.com/search?q=Wyeth+Dairy+Inc+trucking+California+address+phone,Wyeth Dairy Inc
5,48,SUNRISE EXPRESS INC,256401,,TB,1,2025-01-02,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=256401,https://www.google.com/search?q=SUNRISE+EXPRESS+INC+trucking+California+address+phone,SUNRISE EXPRESS INC
5,49,Schuster Company,140125,,TB,1,2025-01-27,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=140125,https://www.google.com/search?q=Schuster+Company+trucking+California+address+phone,Schuster Company
5,50,"Xpress Global Systems, LLC",534817,,TB,1,2025-03-30,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=534817,https://www.google.com/search?q=Xpress+Global+Systems+LLC+trucking+California+address+phone,Xpress Global Systems LLC
6,51,Crete Carrier Corp,73705,,TB,1,2025-02-07,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=73705,https://www.google.com/search?q=Crete+Carrier+Corp+trucking+California+address+phone,Crete Carrier Corp
6,52,Sunset Pacific Transportation,230428,25754,TB,1,2025-01-10,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=230428,https://www.google.com/search?q=Sunset+Pacific+Transportation+trucking+California+address+phone,Sunset Pacific Transportation
6,53,Alan Ritchey Inc,23010,,TB,1,2025-03-03,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=23010,https://www.google.com/search?q=Alan+Ritchey+Inc+trucking+California+address+phone,Alan Ritchey Inc
6,54,Dot-Line Transportation,205915,,TB,1,2025-03-13,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=205915,https://www.google.com/search?q=Dot-Line+Transportation+trucking+California+address+phone,Dot-Line Transportation
6,55,"Roadrunner Transportation Services, Inc",7116,242009,TB,1,2025-01-07,11385 Venture Drive,Jurupa Valley,CA,91752,,,,34.0306728,-117.5321567,371.8,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=7116,https://www.google.com/search?q=Roadrunner+Transportation+Services+Inc+trucking+California+address+phone,Roadrunner Transportation Services Inc
6,56,"ADAMS TRUCKING, INC.",118295,,TB,1,2025-01-10,7301 John Galt Way,Arbuckle,CA,95912,,,,38.9304395,-121.9912793,79.3,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=118295,https://www.google.com/search?q=ADAMS+TRUCKING+INC.+trucking+California+address+phone,ADAMS TRUCKING INC.
6,57,"Cecil Logging, Inc.",2068681,,TB,1,2025-01-14,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2068681,https://www.google.com/search?q=Cecil+Logging+Inc.+trucking+California+address+phone,Cecil Logging Inc.
6,58,DCR Farm Management.,47911,1043831,TB,1,2025-01-21,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=47911,https://www.google.com/search?q=DCR+Farm+Management.+trucking+California+address+phone,DCR Farm Management.
6,59,Henning Rice Farms Inc,121426,,TB,1,2025-01-20,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=121426,https://www.google.com/search?q=Henning+Rice+Farms+Inc+trucking+California+address+phone,Henning Rice Farms Inc
6,60,Gemperle Brothers,2611445,51187,TB,1,2025-01-29,10218 Lander Avenue,Turlock,CA,95380,,,,37.436151,-120.850781,81.8,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2611445,https://www.google.com/search?q=Gemperle+Brothers+trucking+California+address+phone,Gemperle Brothers
7,61,Hay Connection,864392,188522,TB,1,2025-01-02,1152 Sixth Street,Norco,CA,92860,,,,33.9379102,-117.5465595,375.9,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=864392,https://www.google.com/search?q=Hay+Connection+trucking+California+address+phone,Hay Connection
7,62,Johnson Water Well Drilling Inc.,334343,,TB,1,2025-01-21,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=334343,https://www.google.com/search?q=Johnson+Water+Well+Drilling+Inc.+trucking+California+address+phone,Johnson Water Well Drilling Inc.
7,63,CE BECKER AND SONS ENTERPRISES,3029562,260769,TB,1,2025-01-31,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3029562,https://www.google.com/search?q=CE+BECKER+AND+SONS+ENTERPRISES+trucking+California+address+phone,CE BECKER AND SONS ENTERPRISES
7,64,Gill Ranch,542770,52551,TB,1,2025-01-06,1 Mesa Verde Road,King City,CA,93930,,,,36.2011787,-121.1153611,127.8,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=542770,https://www.google.com/search?q=Gill+Ranch+trucking+California+address+phone,Gill Ranch
7,65,"Matthews Skyline Logging, Inc.",1708801,43246,TB,1,2025-01-15,10100 East Road,Potter Valley,CA,95469,,,,39.293542,-123.0956,112.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1708801,https://www.google.com/search?q=Matthews+Skyline+Logging+Inc.+trucking+California+address+phone,Matthews Skyline Logging Inc.
7,66,GLENN VAN RULER DBA VAN RULER FARMS,513448,3037100,TB,1,2025-01-23,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=513448,https://www.google.com/search?q=GLENN+VAN+RULER+DBA+VAN+RULER+FARMS+trucking+California+address+phone,GLENN VAN RULER DBA VAN RULER FARMS
